source/engine-and-pump.STEP
  cylinders near origin (<= 3000): 4787   far/outlier: 2720
              |axis| dir   count     r_min     r_max         area
  ( 0.05, 0.00, 1.00)       1      10.0      10.0          282
  ( 0.01, 0.03, 1.00)       1      12.0      12.0          273
  ( 0.97, 0.26, 0.01)       1      10.0      10.0          269
  ( 0.52, 0.86, 0.00)       1      11.0      11.0          268
  ( 0.68, 0.73, 0.04)       1      12.0      12.0          264
  ( 0.02, 0.05, 1.00)       1      20.0      20.0          263
  ( 0.92, 0.00, 0.39)       1      15.0      15.0          261
  ( 0.00, 0.98, 0.22)       1       0.7       0.7            4
  ( 0.00, 0.96, 0.29)       1       0.8       0.8            4
  ( 0.00, 0.22, 0.98)       1       0.8       0.8            4
  ( 0.00, 0.79, 0.62)       1       0.8       0.8            4
  ( 0.00, 0.99, 0.17)       6       0.3       0.3            2
